#Distances beetween nodes
Sevilla Badajoz 211.4 
Sevilla Córdoba 133.3 
Sevilla Jaén 228 
Badajoz Cáceres 90 
Córdoba Ciudad_Real 188.3 
Jaén Albacete 254.1 
Cáceres Salamanca 206.9 
Ciudad_Real Toledo 112.9 
Albacete Cuenca 140.2 
Salamanca Zamora 62.6 
Salamanca Ávila 100.4 
Toledo Ávila 128.9 
Toledo Madrid 74.4 
Cuenca Zaragoza 261.1 
Zamora Ourense 253.1 
Zamora Valladolid 96.3 
Zamora León 130 
Madrid Segovia 86.2 
Zaragoza Burgos 287.9 
Ourense Santiago 100.8 
León Lugo 212.7 
León Burgos 173.3 
Segovia Burgos 178.3 
Segovia Valladolid 103.4 
Lugo Santiago 95 
